t,product_id,product_name,tx_units,open_orders,backlog_units,shock_severity
42,29,product29,175.0,41,0.0,0.0
42,30,product30,232.0,16,0.0,0.0
42,31,product31,48.0,30,0.0,0.0
42,32,product32,68.0,238,0.0,0.0
42,33,product33,116.0,87,0.0,0.0
42,34,product34,186.0,115,0.0,0.0
42,35,product35,0.0,58,102.0,0.0
42,36,product36,0.0,135,306.0,0.0
42,37,product37,27.0,223,0.0,0.0
42,38,product38,42.0,21,0.0,0.0
42,39,product39,0.0,78,0.0,0.0
42,40,product40,19.0,230,0.0,0.0
42,41,product41,132.0,111,0.0,0.0
42,42,product42,396.0,180,0.0,0.0
42,43,product43,134.0,93,0.0,0.0
42,44,product44,82.0,150,0.0,0.0
42,45,product45,0.0,200,578.0,0.0
42,46,product46,0.0,102,158.0,0.0
42,47,product47,0.0,142,234.0,0.0
42,48,product48,0.0,149,414.0,0.0
42,49,product49,0.0,273,426.0,0.0
43,0,product0,156721.0,21,0.0,0.000674
43,1,product1,240096.0,16,0.0,0.001512
43,2,product2,337973.0,20,0.0,0.000295
43,3,product3,117021.0,14,0.0,0.001053
43,4,product4,46388.0,8,0.0,0.58632
43,5,product5,13768.0,36,0.0,0.0
43,6,product6,1392.0,9,0.0,0.0
43,7,product7,42425.0,42,0.0,0.0
43,8,product8,12.0,3,0.0,0.0
43,9,product9,1936.0,21,0.0,0.0
43,10,product10,408.0,12,0.0,0.0
43,11,product11,23370.0,58,0.0,0.0
43,12,product12,43052.0,49,0.0,0.0
43,13,product13,84.0,18,0.0,0.0
43,14,product14,90410.0,56,0.0,0.0
43,15,product15,0.0,22,37.0,0.0
43,16,product16,592.0,7,0.0,0.0
43,17,product17,0.0,27,32.0,0.0
43,18,product18,4570.0,66,0.0,0.0
43,19,product19,200.0,23,0.0,0.0
43,20,product20,11866.0,44,0.0,0.0
43,21,product21,7176.0,48,0.0,0.0
43,22,product22,482.0,33,0.0,0.0
43,23,product23,2080.0,61,0.0,0.0
43,24,product24,3981.0,187,0.0,0.0
43,25,product25,209.0,100,0.0,0.0
43,26,product26,52.0,56,0.0,0.0
43,27,product27,108.0,43,0.0,0.0
43,28,product28,94.0,161,0.0,0.0
43,29,product29,45.0,51,0.0,0.0
43,30,product30,96.0,17,0.0,0.0
43,31,product31,13.0,34,0.0,0.0
43,32,product32,480.0,239,0.0,0.0
43,33,product33,136.0,90,0.0,0.0
43,34,product34,57.0,118,0.0,0.0
43,35,product35,0.0,53,87.0,0.0
43,36,product36,0.0,130,290.0,0.0
43,37,product37,41.0,230,0.0,0.0
43,38,product38,84.0,7,0.0,0.0
43,39,product39,0.0,81,0.0,0.0
43,40,product40,19.0,239,0.0,0.0
43,41,product41,10.0,116,0.0,0.0
43,42,product42,72.0,192,0.0,0.0
43,43,product43,42.0,98,0.0,0.0
43,44,product44,0.0,157,0.0,0.0
43,45,product45,0.0,205,597.0,0.0
43,46,product46,0.0,102,156.0,0.0
43,47,product47,0.0,141,237.0,0.0
43,48,product48,0.0,154,435.0,0.0
43,49,product49,0.0,280,437.0,0.0
44,0,product0,240068.0,24,0.0,0.000744
44,1,product1,373554.0,18,0.0,0.001451
44,2,product2,515590.0,22,0.0,0.000619
44,3,product3,179223.0,17,0.0,0.000499
44,4,product4,75312.0,8,0.0,0.482957
44,5,product5,11249.0,36,0.0,0.0
44,6,product6,1064.0,10,0.0,0.0
44,7,product7,33640.0,44,0.0,0.0
44,8,product8,6.0,5,0.0,0.0
44,9,product9,1992.0,21,0.0,0.0
44,10,product10,696.0,11,0.0,0.0
44,11,product11,17951.0,58,0.0,0.0
44,12,product12,32877.0,49,0.0,0.0
44,13,product13,48.0,18,0.0,0.0
44,14,product14,70725.0,57,0.0,0.0
44,15,product15,0.0,19,28.0,0.0
44,16,product16,752.0,8,0.0,0.0
44,17,product17,0.0,24,28.0,0.0
44,18,product18,4181.0,69,0.0,0.0
44,19,product19,136.0,22,0.0,0.0
44,20,product20,7155.0,43,0.0,0.0
44,21,product21,6335.0,47,0.0,0.0
44,22,product22,960.0,32,0.0,0.0
44,23,product23,3854.0,64,0.0,0.0
44,24,product24,10032.0,183,0.0,0.0
44,25,product25,176.0,96,0.0,0.0
44,26,product26,50.0,56,0.0,0.0
44,27,product27,22.0,47,0.0,0.0
44,28,product28,1062.0,163,0.0,0.0
44,29,product29,288.0,52,0.0,0.0
44,30,product30,46.0,18,0.0,0.0
44,31,product31,0.0,38,0.0,0.0
44,32,product32,507.0,237,0.0,0.0
44,33,product33,28.0,94,0.0,0.0
44,34,product34,6.0,129,0.0,0.0
44,35,product35,0.0,57,86.0,0.0
44,36,product36,0.0,136,298.0,0.0
44,37,product37,34.0,236,0.0,0.0
44,38,product38,8.0,10,0.0,0.0
44,39,product39,0.0,84,0.0,0.0
44,40,product40,106.0,238,0.0,0.0
44,41,product41,32.0,120,0.0,0.0
44,42,product42,14.0,205,0.0,0.0
44,43,product43,13.0,105,0.0,0.0
44,44,product44,23.0,161,0.0,0.0
44,45,product45,0.0,212,630.0,0.0
44,46,product46,0.0,106,161.0,0.0
44,47,product47,0.0,145,240.0,0.0
44,48,product48,0.0,154,445.0,0.0
44,49,product49,0.0,287,447.0,0.0
45,0,product0,111466.0,25,0.0,0.000821
45,1,product1,169426.0,14,0.0,0.001256
45,2,product2,242466.0,22,0.0,0.000331
45,3,product3,81527.0,19,0.0,0.000904
45,4,product4,31576.0,8,0.0,0.353701
45,5,product5,18288.0,34,0.0,0.0
45,6,product6,1768.0,9,0.0,0.0
45,7,product7,51857.0,44,0.0,0.0
45,8,product8,8.0,4,0.0,0.0
45,9,product9,3208.0,19,0.0,0.0
45,10,product10,1080.0,10,0.0,0.0
45,11,product11,27507.0,61,0.0,0.0
45,12,product12,46750.0,54,0.0,0.0
45,13,product13,36.0,19,0.0,0.0
45,14,product14,109494.0,56,0.0,0.0
45,15,product15,0.0,14,17.0,0.0
45,16,product16,1456.0,7,0.0,0.0
45,17,product17,0.0,25,32.0,0.0
45,18,product18,4823.0,64,0.0,0.0
